ID,L1_ID,Name,Local_Hub_ID
L2_122,L1_07,Phường Quyết Thắng,HUB015
L2_123,L1_07,Phường Gia Sàng,HUB015
L2_124,L1_07,Phường Quan Triều,HUB015
L2_125,L1_07,Phường Sông Công,HUB015
L2_126,L1_07,Xã Định Hóa,HUB015
L2_127,L1_07,Xã Phú Lương,HUB015
L2_128,L1_07,Xã Võ Nhai,HUB015
L2_129,L1_07,Xã Đồng Hỷ,HUB015
L2_130,L1_07,Xã Đại Từ,HUB015
L2_131,L1_08,Phường Đông Kinh,HUB017
L2_132,L1_08,Phường Lương Văn Tri,HUB017
L2_133,L1_08,Phường Tam Thanh,HUB016
L2_134,L1_08,Phường Kỳ Lừa,HUB017
L2_135,L1_08,Xã Thất Khê,HUB017
L2_136,L1_08,Xã Tràng Định,HUB017
L2_137,L1_08,Xã Bình Gia,HUB017
L2_138,L1_08,Xã Văn Lãng,HUB017
L2_139,L1_08,Xã Cao Lộc,HUB017
L2_140,L1_08,Xã Lộc Bình,HUB017
L2_141,L1_08,Xã Chi Lăng,HUB016
L2_142,L1_08,Xã Hữu Lũng,HUB016
L2_143,L1_09,Phường Hà Tu,HUB019
L2_144,L1_09,Phường Cao Xanh,HUB018
L2_145,L1_09,Phường Việt Hưng,HUB020
L2_146,L1_09,Phường Bãi Cháy,HUB019
L2_147,L1_09,Phường Hà Lầm,HUB019
L2_148,L1_09,Phường Hồng Gai,HUB019
L2_149,L1_09,Phường Hạ Long,HUB018
L2_150,L1_09,Phường Tuần Châu,HUB019
L2_151,L1_09,Phường Móng Cái 1,HUB018
L2_152,L1_09,Xã Hải Hà,HUB020
L2_153,L1_09,Xã Đầm Hà,HUB018
L2_154,L1_09,Xã Tiên Yên,HUB018
L2_155,L1_09,Xã Ba Chẽ,HUB019
L2_156,L1_09,Xã Bình Liêu,HUB018
L2_157,L1_10,Phường Phù Khê,HUB021
L2_158,L1_10,Phường Đồng Nguyên,HUB021
L2_159,L1_10,Phường Thuận Thành,HUB021
L2_160,L1_10,Phường Mão Điền,HUB021
L2_161,L1_10,Phường Trí Quả,HUB021
L2_162,L1_10,Phường Trạm Lộ,HUB021
L2_163,L1_10,Xã Tiên Du,HUB021
L2_164,L1_10,Xã Yên Phong,HUB021
L2_165,L1_10,Xã Quế Võ,HUB021
L2_166,L1_10,Xã Gia Bình,HUB021
L2_167,L1_10,Xã Lương Tài,HUB021
L2_168,L1_11,Phường Tân Hòa,HUB022
L2_169,L1_11,Phường Hòa Bình,HUB022
L2_170,L1_11,Phường Thống Nhất,HUB022
L2_171,L1_11,Phường Kỳ Sơn,HUB022
L2_172,L1_11,Phường Nông Trang,HUB022
L2_173,L1_11,Phường Việt Trì,HUB022
L2_174,L1_11,Phường Thanh Miếu,HUB022
L2_175,L1_11,Phường Phú Thọ,HUB022
L2_176,L1_11,Phường Phong Châu,HUB022
L2_177,L1_11,Xã Đoan Hùng,HUB022
L2_178,L1_11,Xã Hạ Hòa,HUB022
L2_179,L1_11,Xã Thanh Ba,HUB022
L2_180,L1_11,Xã Cẩm Khê,HUB022
L2_181,L1_11,Xã Tam Nông,HUB022
L2_182,L1_11,Xã Thanh Thủy,HUB022
L2_183,L1_11,Xã Lâm Thao,HUB022
L2_184,L1_12,Phường An Biên,HUB023
L2_185,L1_12,Phường Đông Hải,HUB023
L2_186,L1_12,Phường Hải An,HUB023
L2_187,L1_12,Phường Kiến An,HUB023
L2_188,L1_12,Phường Phù Liễn,HUB023
L2_189,L1_12,Phường Đồ Sơn,HUB023
L2_190,L1_12,Phường Bạch Đằng,HUB023
L2_191,L1_12,Phường Lê Ích Mộc,HUB023
L2_192,L1_12,Phường Nam Triệu,HUB023
L2_193,L1_12,Phường Thủy Nguyên,HUB023
L2_194,L1_12,Phường An Dương,HUB023
L2_195,L1_12,Xã Tiên Lãng,HUB023
L2_196,L1_12,Xã Vĩnh Bảo,HUB023
L2_197,L1_12,Xã Kiến Thụy,HUB023
L2_198,L1_13,Phường Phố Hiến,HUB024
L2_199,L1_13,Phường Hồng Châu,HUB024
L2_200,L1_13,Phường Sơn Nam,HUB024
L2_201,L1_13,Phường Mỹ Hào,HUB024
L2_202,L1_13,Phường Thượng Hồng,HUB024
L2_203,L1_13,Phường Đường Hào,HUB024
L2_204,L1_13,Xã Văn Lâm,HUB024
L2_205,L1_13,Xã Yên Mỹ,HUB024
L2_206,L1_13,Xã Văn Giang,HUB024
L2_207,L1_13,Xã Khoái Châu,HUB024
L2_208,L1_13,Xã Kim Động,HUB024
L2_209,L1_13,Xã Ân Thi,HUB024
L2_210,L1_13,Xã Tiên Lữ,HUB024
L2_211,L1_13,Xã Phù Cừ,HUB024
L2_212,L1_14,Phường Nam Hoa Lư,HUB026
L2_213,L1_14,Phường Tam Điệp,HUB026
L2_214,L1_14,Phường Trung Sơn,HUB025
L2_215,L1_14,Phường Yên Sơn,HUB027
L2_216,L1_14,Phường Tây Hoa Lư,HUB025
L2_217,L1_14,Phường Đông Hoa Lư,HUB026
L2_218,L1_14,Xã Nho Quan,HUB027
L2_219,L1_14,Xã Gia Viễn,HUB026
L2_220,L1_14,Xã Hoa Lư,HUB025
L2_221,L1_14,Xã Yên Khánh,HUB026
L2_222,L1_14,Xã Kim Sơn,HUB025
L2_223,L1_14,Xã Yên Mô,HUB027
L2_224,L1_15,Phường Hàm Rồng,HUB030
L2_225,L1_15,Phường Hạc Thành,HUB029
L2_226,L1_15,Phường Bỉm Sơn,HUB028
L2_227,L1_15,Phường Quang Trung,HUB030
L2_228,L1_15,Phường Đông Tiến,HUB030
L2_229,L1_15,Phường Sầm Sơn,HUB030
L2_230,L1_15,Phường Tĩnh Gia,HUB028
L2_231,L1_15,Xã Mường Lát,HUB029
L2_232,L1_15,Xã Quan Hóa,HUB030
L2_233,L1_15,Xã Quan Sơn,HUB028
L2_234,L1_15,Xã Bá Thước,HUB029
L2_235,L1_15,Xã Cẩm Thủy,HUB028
L2_236,L1_15,Xã Ngọc Lặc,HUB029
L2_237,L1_15,Xã Thạch Thành,HUB029
L2_238,L1_15,Xã Hoằng Hóa,HUB030
L2_239,L1_15,Xã Hậu Lộc,HUB028
L2_240,L1_16,Phường Trung Tâm Nghệ An,HUB031
L2_241,L1_16,Quận 1,HUB031
L2_242,L1_16,Quận 2,HUB032
L2_243,L1_16,Huyện Ngoại Ô,HUB032
L2_244,L1_17,Phường Trung Tâm Hà Tĩnh,HUB033
L2_245,L1_17,Quận 1,HUB033
L2_246,L1_17,Quận 2,HUB033
L2_247,L1_17,Huyện Ngoại Ô,HUB033
L2_248,L1_18,Phường Trung Tâm Quảng Trị,HUB034
L2_249,L1_18,Quận 1,HUB036
L2_250,L1_18,Quận 2,HUB036
L2_251,L1_18,Huyện Ngoại Ô,HUB034
L2_252,L1_19,Phường Trung Tâm Huế,HUB038
L2_253,L1_19,Quận 1,HUB038
L2_254,L1_19,Quận 2,HUB037
L2_255,L1_19,Huyện Ngoại Ô,HUB038
L2_256,L1_20,Phường Trung Tâm Đà Nẵng,HUB040
L2_257,L1_20,Quận 1,HUB039
L2_258,L1_20,Quận 2,HUB039
L2_259,L1_20,Huyện Ngoại Ô,HUB039
L2_260,L1_21,Phường Trung Tâm Quảng Ngãi,HUB041
L2_261,L1_21,Quận 1,HUB041
L2_262,L1_21,Quận 2,HUB041
L2_263,L1_21,Huyện Ngoại Ô,HUB041
L2_264,L1_22,Phường Trung Tâm Gia Lai,HUB042
L2_265,L1_22,Quận 1,HUB042
L2_266,L1_22,Quận 2,HUB044
L2_267,L1_22,Huyện Ngoại Ô,HUB043
L2_268,L1_23,Phường Trung Tâm Khánh Hòa,HUB047
L2_269,L1_23,Quận 1,HUB046
L2_270,L1_23,Quận 2,HUB047
L2_271,L1_23,Huyện Ngoại Ô,HUB046
L2_272,L1_24,Phường Trung Tâm Đắk Lắk,HUB048
L2_273,L1_24,Quận 1,HUB048
L2_274,L1_24,Quận 2,HUB048
L2_275,L1_24,Huyện Ngoại Ô,HUB048
L2_276,L1_25,Phường Trung Tâm Lâm Đồng,HUB049
L2_277,L1_25,Quận 1,HUB049
L2_278,L1_25,Quận 2,HUB049
L2_279,L1_25,Huyện Ngoại Ô,HUB049
L2_280,L1_26,Phường Trung Tâm Đồng Nai,HUB052
L2_281,L1_26,Quận 1,HUB050
L2_282,L1_26,Quận 2,HUB052
L2_283,L1_26,Huyện Ngoại Ô,HUB051
L2_284,L1_27,Phường Trung Tâm Hồ Chí Minh,HUB053
L2_285,L1_27,Quận 1,HUB055
L2_286,L1_27,Quận 2,HUB055
L2_287,L1_27,Huyện Ngoại Ô,HUB055
L2_288,L1_28,Phường Trung Tâm Tây Ninh,HUB056
L2_289,L1_28,Quận 1,HUB057
L2_290,L1_28,Quận 2,HUB057
L2_291,L1_28,Huyện Ngoại Ô,HUB057
L2_292,L1_29,Phường Trung Tâm Đồng Tháp,HUB058
L2_293,L1_29,Quận 1,HUB058
L2_294,L1_29,Quận 2,HUB059
L2_295,L1_29,Huyện Ngoại Ô,HUB058
L2_296,L1_30,Phường Trung Tâm Vĩnh Long,HUB060
L2_297,L1_30,Quận 1,HUB060
L2_298,L1_30,Quận 2,HUB060
L2_299,L1_30,Huyện Ngoại Ô,HUB060
L2_300,L1_31,Phường Trung Tâm An Giang,HUB062
L2_301,L1_31,Quận 1,HUB062
L2_302,L1_31,Quận 2,HUB061
L2_303,L1_31,Huyện Ngoại Ô,HUB061
L2_304,L1_32,Phường Trung Tâm Cần Thơ,HUB063
L2_305,L1_32,Quận 1,HUB063
L2_306,L1_32,Quận 2,HUB063
L2_307,L1_32,Huyện Ngoại Ô,HUB064
L2_308,L1_33,Phường Trung Tâm Cà Mau,HUB065
L2_309,L1_33,Quận 1,HUB065
L2_310,L1_33,Quận 2,HUB065
L2_311,L1_33,Huyện Ngoại Ô,HUB065
