Hub_ID,Hub_Name,Hub_Address,Current_Order_Count,Max_Capacity
HUB048,HUB Trung Tâm Đắk Lắk,"Khu Công Nghiệp, Phường Trung Tâm Đắk Lắk, Tỉnh Đắk Lắk",0,2377
HUB049,HUB Trung Tâm Lâm Đồng,"Tòa nhà Vận Tải, Đường Trần Hưng Đạo, Phường Trung Tâm Lâm Đồng, Tỉnh Lâm Đồng",0,1836
HUB050,HUB 1,"Số 12, Đường Trường Chinh, Quận 1, Tỉnh Đồng Nai",0,2821
HUB051,HUB Ngoại Ô,"Số 100, Đường Nguyễn Trãi, Huyện Ngoại Ô, Tỉnh Đồng Nai",0,1084
HUB052,HUB Trung Tâm Đồng Nai,"Khu Công Nghiệp, Phường Trung Tâm Đồng Nai, Tỉnh Đồng Nai",0,2064
HUB053,HUB Trung Tâm Hồ Chí Minh,"Khu Công Nghiệp, Phường Trung Tâm Hồ Chí Minh, Thành phố Hồ Chí Minh",0,1300
HUB054,HUB Tân Bình,"Phường 12, Quận Tân Bình, Thành phố Hồ Chí Minh",0,1635
HUB055,HUB 1,"Tòa nhà Vận Tải, Đường Trần Hưng Đạo, Quận 1, Thành phố Hồ Chí Minh",0,2047
HUB056,HUB Trung Tâm Tây Ninh,"Số 8, Đường Lê Lợi, Phường Trung Tâm Tây Ninh, Tỉnh Tây Ninh",0,1094
HUB057,HUB 1,"Số 15, Đường Điện Biên Phủ, Quận 1, Tỉnh Tây Ninh",0,2183
HUB058,HUB Trung Tâm Đồng Tháp,"Tòa nhà Vận Tải, Đường Trần Hưng Đạo, Phường Trung Tâm Đồng Tháp, Tỉnh Đồng Tháp",0,2210
HUB059,HUB 2,"Số 12, Đường Trường Chinh, Quận 2, Tỉnh Đồng Tháp",0,2880
HUB060,HUB Trung Tâm Vĩnh Long,"Số 100, Đường Nguyễn Trãi, Phường Trung Tâm Vĩnh Long, Tỉnh Vĩnh Long",0,1004
HUB061,HUB 2,"Số 10, Quốc lộ 1A, Quận 2, Tỉnh An Giang",0,1449
HUB062,HUB Trung Tâm An Giang,"Khu Công Nghiệp, Phường Trung Tâm An Giang, Tỉnh An Giang",0,1542
HUB063,HUB Trung Tâm Cần Thơ,"Số 100, Đường Nguyễn Trãi, Phường Trung Tâm Cần Thơ, Thành phố Cần Thơ",0,2324
HUB064,HUB Ngoại Ô,"Tòa nhà Vận Tải, Đường Trần Hưng Đạo, Huyện Ngoại Ô, Thành phố Cần Thơ",0,1795
HUB065,HUB Trung Tâm Cà Mau,"Số 15, Đường Điện Biên Phủ, Phường Trung Tâm Cà Mau, Tỉnh Cà Mau",0,1233
