Driver_ID,Order_ID,Start_Time,Pickup_Time,Pickup_Count,Status
U010,ORD118,2026-04-27 06:52:40,2026-04-27 07:52:40,1,Đã lấy hàng
U091,ORD119,2026-05-03 06:52:40,2026-05-03 07:52:40,1,Đã lấy hàng
U078,ORD121,2026-05-02 06:52:40,2026-05-02 07:52:40,1,Đã lấy hàng
U088,ORD122,2026-05-04 06:52:40,2026-05-04 07:52:40,1,Đã lấy hàng
U010,ORD123,2026-04-30 06:52:40,2026-04-30 07:52:40,1,Đã lấy hàng
U020,ORD124,2026-04-29 06:52:40,2026-04-29 07:52:40,1,Đã lấy hàng
U042,ORD126,2026-04-28 06:52:40,2026-04-28 07:52:40,1,Đã lấy hàng
U039,ORD127,2026-05-05 06:52:40,2026-05-05 07:52:40,1,Đã lấy hàng
U021,ORD129,2026-05-02 06:52:40,2026-05-02 07:52:40,1,Đã lấy hàng
U010,ORD130,2026-05-02 06:52:40,2026-05-02 07:52:40,1,Đã lấy hàng
U010,ORD131,2026-05-01 06:52:40,2026-05-01 07:52:40,1,Đã lấy hàng
U088,ORD132,2026-04-30 06:52:40,2026-04-30 07:52:40,1,Đã lấy hàng
U087,ORD133,2026-04-27 06:52:40,2026-04-27 07:52:40,1,Đã lấy hàng
U097,ORD134,2026-04-27 06:52:40,2026-04-27 07:52:40,1,Đã lấy hàng
U037,ORD136,2026-04-30 06:52:40,2026-04-30 07:52:40,1,Đã lấy hàng
U039,ORD137,2026-05-04 06:52:40,2026-05-04 07:52:40,1,Đã lấy hàng
U068,ORD139,2026-04-29 06:52:40,2026-04-29 07:52:40,1,Đã lấy hàng
U010,ORD140,2026-04-30 06:52:40,2026-04-30 07:52:40,1,Đã lấy hàng
U044,ORD141,2026-05-02 06:52:40,2026-05-02 07:52:40,1,Đã lấy hàng
U008,ORD142,2026-04-26 06:52:40,2026-04-26 07:52:40,1,Đã lấy hàng
U085,ORD143,2026-05-01 06:52:40,2026-05-01 07:52:40,1,Đã lấy hàng
U021,ORD144,2026-04-26 06:52:40,2026-04-26 07:52:40,1,Đã lấy hàng
U087,ORD147,2026-04-26 06:52:40,2026-04-26 07:52:40,1,Đã lấy hàng
U037,ORD148,2026-05-05 06:52:40,2026-05-05 07:52:40,1,Đã lấy hàng
U085,ORD149,2026-05-03 06:52:40,2026-05-03 07:52:40,1,Đã lấy hàng
U068,ORD150,2026-05-05 06:52:40,2026-05-05 07:52:40,1,Đã lấy hàng
U087,ORD151,2026-05-05 06:52:40,2026-05-05 07:52:40,1,Đã lấy hàng
U071,ORD153,2026-04-30 06:52:40,2026-04-30 07:52:40,1,Đã lấy hàng
U039,ORD154,2026-04-29 06:52:40,2026-04-29 07:52:40,1,Đã lấy hàng
U032,ORD155,2026-05-03 06:52:40,2026-05-03 07:52:40,1,Đã lấy hàng
U088,ORD157,2026-05-01 06:52:40,2026-05-01 07:52:40,1,Đã lấy hàng
U091,ORD158,2026-04-30 06:52:40,2026-04-30 07:52:40,1,Đã lấy hàng
U021,ORD159,2026-05-02 06:52:40,2026-05-02 07:52:40,1,Đã lấy hàng
U068,ORD160,2026-04-30 06:52:40,2026-04-30 07:52:40,1,Đã lấy hàng
U078,ORD161,2026-05-02 06:52:40,2026-05-02 07:52:40,1,Đã lấy hàng
U054,ORD164,2026-04-30 06:52:40,2026-04-30 07:52:40,1,Đã lấy hàng
U044,ORD166,2026-05-04 06:52:40,2026-05-04 07:52:40,1,Đã lấy hàng
U068,ORD168,2026-04-28 06:52:40,2026-04-28 07:52:40,1,Đã lấy hàng
U085,ORD170,2026-05-04 06:52:40,2026-05-04 07:52:40,1,Đã lấy hàng
U085,ORD171,2026-04-27 06:52:40,2026-04-27 07:52:40,1,Đã lấy hàng
U032,ORD174,2026-04-28 06:52:40,2026-04-28 07:52:40,1,Đã lấy hàng
U044,ORD175,2026-04-27 06:52:40,2026-04-27 07:52:40,1,Đã lấy hàng
U032,ORD176,2026-05-01 06:52:40,2026-05-01 07:52:40,1,Đã lấy hàng
U097,ORD177,2026-04-26 06:52:40,2026-04-26 07:52:40,1,Đã lấy hàng
U039,ORD178,2026-04-30 06:52:40,2026-04-30 07:52:40,1,Đã lấy hàng
U078,ORD179,2026-05-01 06:52:40,2026-05-01 07:52:40,1,Đã lấy hàng
U032,ORD180,2026-05-04 06:52:40,2026-05-04 07:52:40,1,Đã lấy hàng
U054,ORD181,2026-04-26 06:52:40,2026-04-26 07:52:40,1,Đã lấy hàng
U097,ORD183,2026-04-27 06:52:40,2026-04-27 07:52:40,1,Đã lấy hàng
U008,ORD184,2026-05-01 06:52:40,2026-05-01 07:52:40,1,Đã lấy hàng
U075,ORD185,2026-04-26 06:52:40,2026-04-26 07:52:40,1,Đã lấy hàng
U044,ORD186,2026-04-27 06:52:40,2026-04-27 07:52:40,1,Đã lấy hàng
U091,ORD187,2026-04-26 06:52:40,2026-04-26 07:52:40,1,Đã lấy hàng
U071,ORD189,2026-04-27 06:52:40,2026-04-27 07:52:40,1,Đã lấy hàng
U037,ORD190,2026-04-27 06:52:40,2026-04-27 07:52:40,1,Đã lấy hàng
U021,ORD193,2026-05-02 06:52:40,2026-05-02 07:52:40,1,Đã lấy hàng
U085,ORD195,2026-05-04 06:52:40,2026-05-04 07:52:40,1,Đã lấy hàng
U087,ORD196,2026-04-27 06:52:40,2026-04-27 07:52:40,1,Đã lấy hàng
U088,ORD197,2026-05-03 06:52:40,2026-05-03 07:52:40,1,Đã lấy hàng
U039,ORD198,2026-05-01 06:52:40,2026-05-01 07:52:40,1,Đã lấy hàng
U020,ORD200,2026-05-01 06:52:40,2026-05-01 07:52:40,1,Đã lấy hàng
